club,year,item,value_gbp,comparative_gbp,source_section,source_snippet,confidence,cross_check,restated_next_year,note,corrected_value,verified,validation_note
arsenal,2023,revenue,467155000,372362000,profit_and_loss,"Turnover of the Group including its share of joint ventures 465,698 1,457 467,155 370,384 1,978 372,362",medium,agrees with 2023+1 comparative,,"section: £'000; matched tier 1; took figure '467,155' of 6 on row; row has 6 figures, took the computed total column",,y,
arsenal,2023,wages,234766000,212345000,notes,"Staff costs 234,766 212,345",high,agrees with 2023+1 comparative,,"section: £'000; matched tier 1; took figure '234,766' of 2 on row",,y,
arsenal,2023,player_amortisation,139060000,124567000,notes,"Amortisation of player registrations 139,060 124,567",high,agrees with 2023+1 comparative,,"section: £'000; matched tier 1; took figure '139,060' of 2 on row",,y,
arsenal,2023,profit_on_disposal,0,0,notes,Loss on disposal of tangible fixed assets - -,high,,,section: £'000; matched tier 1; took figure '-' of 2 on row,,y,
arsenal,2024,revenue,617167000,467155000,profit_and_loss,"Turnover of the Group including its share of joint ventures 615,793 1,374 617,167 465,698 1,457 467,155",medium,agrees with 2024+1 comparative,,"section: £'000; matched tier 1; took figure '617,167' of 6 on row; row has 6 figures, took the computed total column",,y,
arsenal,2024,wages,327822000,234766000,notes,"Staff costs 327,822 234,766",high,agrees with 2024+1 comparative,,"section: £'000; matched tier 1; took figure '327,822' of 2 on row",,y,
arsenal,2024,player_amortisation,171099000,139060000,notes,"Amortisation of player registrations . 171,099 139,060",high,agrees with 2024+1 comparative,,"section: £'000; matched tier 1; took figure '171,099' of 2 on row",,y,
arsenal,2024,profit_on_disposal,,,,,none,,,no matching row found,,y,Line not disclosed in this filing; checked the full document.
arsenal,2025,revenue,692026000,617167000,profit_and_loss,"Turnover of the Group including its share of joint ventures 691,572 454 692,026 615,793 1,374 617,167",medium,,,"section: £'000; matched tier 1; took figure '692,026' of 6 on row; row has 6 figures, took the computed total column",,y,
arsenal,2025,wages,346804000,327822000,notes,"Staff costs 346,804 327,822",high,,,"section: £'000; matched tier 1; took figure '346,804' of 2 on row",,y,
arsenal,2025,player_amortisation,171627000,171099000,notes,"Amortisation of player registrations . 171,627 171,099",high,,,"section: £'000; matched tier 1; took figure '171,627' of 2 on row",,y,
arsenal,2025,profit_on_disposal,-19000,,notes,Profit on disposal of fixed assets (19),medium,,,section: £'000; matched tier 1; took figure '(19)' of 1 on row,,y,
chelsea,2023,revenue,512467000,,profit_and_loss,"Turnover se 3 512,467 - 512,467 481,278",medium,,,"section: £'000; matched tier 1; took figure '512,467' of 4 on row; row has 4 figures, took the computed total column",,y,
chelsea,2023,wages,403962000,,notes,"derived total staff costs: 352,355 + 49,831 + 1,776 = 403,962",medium,,,section: £'000; summed from the components in the employees note (no labelled total is printed),,y,
chelsea,2023,player_amortisation,205000000,,notes,"Amortisation charged for the year 1,750 203,250 205,000",medium,,,"section: £'000; matched tier 2; took figure '205,000' of 3 on row; row has 3 figures, took the computed total column",,y,
chelsea,2023,profit_on_disposal,76524000,,profit_and_loss,"Profit on disposal of fixed assets 76,524 - 76,524 -",medium,,,"section: £'000; matched tier 1; took figure '76,524' of 4 on row; row has 4 figures, took the computed total column",,y,
chelsea,2024,revenue,468486000,,profit_and_loss,"Turnover 3 468,486 - 468,486 512,467",medium,,,"section: £'000; matched tier 1; took figure '468,486' of 4 on row; row has 4 figures, took the computed total column",,y,
chelsea,2024,wages,338021000,,notes,"derived total staff costs: 294,629 + 41,035 + 2,357 = 338,021",medium,,,section: £'000; summed from the components in the employees note (no labelled total is printed),,y,
chelsea,2024,player_amortisation,191826000,,notes,"Amortisation charged for the year 1,770 190,056 191,826",medium,,,"section: £'000; matched tier 2; took figure '191,826' of 3 on row; row has 3 figures, took the computed total column",,y,
chelsea,2024,profit_on_disposal,198749000,,profit_and_loss,"Profit on disposal of fixed assets investments 17 198,749 - 198,749 -",low,MISMATCH: 2025 filing restates this as 0,0,"section: £'000; matched tier 1; took figure '198,749' of 4 on row; row has 4 figures, took the computed total column",,y,"Cross-year flag spurious: FY2025 prints 198,749 as its comparative, missed because FY2025's own column is nil."
chelsea,2025,revenue,490857000,,profit_and_loss,"Turnover 3 490,857 - 490,857 468,486",medium,,,"section: £'000; matched tier 1; took figure '490,857' of 4 on row; row has 4 figures, took the computed total column",,y,
chelsea,2025,wages,359265000,,notes,"derived total staff costs: 312,812 + 44,041 + 2,412 = 359,265",medium,,,section: £'000; summed from the components in the employees note (no labelled total is printed),,y,
chelsea,2025,player_amortisation,213893000,,notes,"Amortisation charged for the year 1,646 212,247 213,893",medium,,,"section: £'000; matched tier 2; took figure '213,893' of 3 on row; row has 3 figures, took the computed total column",,y,
chelsea,2025,profit_on_disposal,0,0,profit_and_loss,"Profit on disposal of fixed asset investments 16 - - - 198,749",medium,,,"section: £'000; matched tier 1; took figure '-' of 4 on row; row has 4 figures, took the first column",,y,
everton,2023,revenue,7215000,0,profit_and_loss,"Turnover 2 7215S - 172,A55, 181,007 - 181,007",low,"OUTLIER: 0.04x this club's median revenue (186,902,000)",,"section: £'000; matched tier 1; took figure '7215' of 6 on row; row has 6 figures, took the first column",172155000,y,"OCR read 172,155 as '7215S'. Confirmed twice: FY2024 P&L comparative column reads 172,155, and FY2024's KPI table reads 'Turnover 186.9 172.2'."
everton,2023,wages,159026000,162010000,notes,"Staff costs (nate 7) 159,026 162,010",high,agrees with 2023+1 comparative,,"section: £'000; matched tier 1; took figure '159,026' of 2 on row",,y,
everton,2023,player_amortisation,77621000,68327000,notes,"Amortisation of players’ registrations 77621 68,327",high,agrees with 2023+1 comparative,,section: £'000; matched tier 1; took figure '77621' of 2 on row,,y,
everton,2023,profit_on_disposal,0,,profit_and_loss,Profit on disposal of tangible . -,low,,,section: £'000; matched tier 2; took figure '-' of 1 on row,,y,
everton,2024,revenue,186902000,,profit_and_loss,"Turnover 186,902 - 186,902 172,155 : 172,155",low,"MISMATCH: 2025 filing restates this as 196,697,000",196697000,"section: £'000; matched tier 1; took figure '186,902' of 5 on row; row has 5 figures, took the computed total column",,y,"Cross-year flag spurious: FY2025's comparative is 186,902 (OCR '3186,902'); the reader took the current-year 196,697 instead."
