club,year_prev,year,n_tokens_prev,n_tokens,cosine_similarity,cosine_novelty,jaccard_similarity,jaccard_novelty,surprisal_bits
arsenal,2023,2024,3250,5273,0.70276,0.29724,0.506659,0.493341,6.408938
arsenal,2024,2025,5273,6016,0.811955,0.188045,0.647609,0.352391,4.677413
chelsea,2023,2024,4062,5152,0.720416,0.279584,0.602951,0.397049,5.557298
chelsea,2024,2025,5152,2853,0.699301,0.300699,0.568854,0.431146,3.572694
everton,2023,2024,2533,2477,0.788687,0.211313,0.651349,0.348651,3.772053
everton,2024,2025,2477,3456,0.799433,0.200567,0.665103,0.334897,4.104085
tottenham,2023,2024,4235,4504,0.816767,0.183233,0.675802,0.324198,4.302812
tottenham,2024,2025,4504,5224,0.671082,0.328918,0.489059,0.510941,6.258624
west-ham,2023,2024,4338,4181,0.753185,0.246815,0.598189,0.401811,4.518079
west-ham,2024,2025,4181,4064,0.764866,0.235134,0.621345,0.378655,4.530974
